geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG9279	70.2514679256562	-1.13265488531771	0.241635919652267	-4.68744418026795	2.76638120660045e-06	2.12638035029143e-05	depleted in absence of Pc and vg
CR44677	13.7338336081115	-2.19232192501975	0.583236892850578	-3.75888760106506	0.000170670483175916	0.000855431884763042	depleted in absence of Pc and vg
Shal	50.9796253801244	-1.05113470945584	0.357098095474709	-2.94354610897185	0.00324475484948279	0.0110044250727344	depleted in absence of Pc and vg
Oat	201.042922952351	-1.38054234492256	0.497903397720659	-2.77271123523662	0.00555914265476031	0.0173783837507523	depleted in absence of Pc and vg
tey	172.668702489919	4.34355963826107	0.295355086308255	14.7062293477072	5.8793411558785e-49	2.72091009243094e-46	enriched in absence of Pc and vg
Ir76a	159.272047595739	-1.12160589795366	0.154324848255878	-7.26782440177089	3.65323241006826e-13	9.04087461211074e-12	depleted in absence of Pc and vg
Cyp305a1	4.18891352995279	-3.51796088595587	1.07666530809661	-3.26746005420673	0.00108517179240905	0.00429238002075758	depleted in absence of Pc and vg
Ac76E	33.2856149711795	-1.4658717308971	0.380805901991385	-3.84939341336748	0.000118410694985807	0.000618420480025062	depleted in absence of Pc and vg
CG7646	214.908694405163	-1.09335240890433	0.208380183459733	-5.24691163406912	1.54670037362164e-07	1.56174554998323e-06	depleted in absence of Pc and vg
Gabat	367.607330276929	-1.78763744987807	0.424131710898875	-4.21481677493408	2.499810536321e-05	0.00015502733460032	depleted in absence of Pc and vg
CG7328	50.796556503888	-1.25008244857703	0.275067124777017	-4.54464505560382	5.50279018279303e-06	3.96622261909683e-05	depleted in absence of Pc and vg
CG17145	2.74387101734842	-5.71845836345947	2.29695405588967	-2.48958325866233	0.0127892959316704	0.0348676263900499	depleted in absence of Pc and vg
CG17122	2.86874270826915	-3.79398265030488	1.53893569161932	-2.46532890943138	0.013688753140698	0.0369778179289219	depleted in absence of Pc and vg
CG32225	7.53277585471025	-2.06219799840153	0.862785582893537	-2.39016279280595	0.0168409061790292	0.0438677169161532	depleted in absence of Pc and vg
CG5618	167.797429809487	-2.77284672895268	0.238097652264446	-11.6458381785008	2.4094106696929e-31	3.5681765744372e-29	depleted in absence of Pc and vg
CR43944	33.2757089044597	1.12404667458123	0.386541232772133	2.90796059845925	0.0036379417082084	0.0121377646599792	enriched in absence of Pc and vg
zye	51.9920378345331	-3.61927271854864	0.625947825733077	-5.7820677215548	7.37879900524858e-09	9.32381348706439e-08	depleted in absence of Pc and vg
CG5910	28.9436558838756	-1.73941454123974	0.492784350603256	-3.52976822236823	0.000415923866339829	0.00186964254499757	depleted in absence of Pc and vg
Rcd2	133.136684652516	1.59859959120107	0.239531159664255	6.67386904251534	2.49145960692159e-11	4.75474945946359e-10	enriched in absence of Pc and vg
cmpy	36.0331375210393	-1.24082100608723	0.492139917454161	-2.52127690130481	0.0116929797159193	0.0324827163117597	depleted in absence of Pc and vg
CR45943	7.74718273725885	-1.75910347360472	0.70559650573053	-2.49307282464992	0.0126642868694849	0.0346086278708715	depleted in absence of Pc and vg
ICA69	71.441868092101	-1.41987721706698	0.299025806973144	-4.74834340032232	2.05089597238471e-06	1.62942071282382e-05	depleted in absence of Pc and vg
CG10512	114.184289426137	-1.81572353197186	0.345830405454731	-5.25032936182802	1.51827493171851e-07	1.53723606805811e-06	depleted in absence of Pc and vg
Cpr78Ca	11.9429819409499	-2.41343215457479	0.968956568594251	-2.49075369608792	0.0127472453908664	0.0347785936026415	depleted in absence of Pc and vg
CG33288	25.3174129333778	3.72567712629515	0.554584044768172	6.71796666608496	1.84277833003298e-11	3.59714216373925e-10	enriched in absence of Pc and vg
Alp1	121.518778798826	-4.90606262388369	0.851023943216087	-5.76489376473156	8.17092934787078e-09	1.02431729420768e-07	depleted in absence of Pc and vg
CG7173	91.2752730501177	4.03036549726844	0.355684072609743	11.3313072123153	9.18239707668409e-30	1.21415338488964e-27	enriched in absence of Pc and vg
CG7166	105.993239292652	-1.14618390357048	0.334293453783646	-3.42867588520679	0.000606533386780629	0.00259705718079123	depleted in absence of Pc and vg
Cpr78E	157.955909970936	-2.00274224227603	0.331053617285807	-6.0496008431982	1.45205149800762e-09	2.05976193976637e-08	depleted in absence of Pc and vg
CG14566	82.7500758007664	-2.71854483018017	0.86144873366954	-3.15578249050283	0.00160068179030113	0.00599126274764459	depleted in absence of Pc and vg
CG14572	34.9025559692075	-3.384720856366	0.869650630088051	-3.89204669008669	9.94021089718323e-05	0.000529524807841794	depleted in absence of Pc and vg
SLC22A	6.00207891423475	-2.72806581397083	0.849316812019251	-3.21207089670679	0.00131781850055711	0.005061206806946	depleted in absence of Pc and vg
CG7470	144.064602078133	-2.43010936005985	0.780338444513792	-3.11417357064087	0.00184460941517768	0.00678862716182191	depleted in absence of Pc and vg
CR43995	16.5817960103842	-1.75737397067829	0.49106636727179	-3.57868933366727	0.000345321657450302	0.00158622318002502	depleted in absence of Pc and vg
laza	5.27910232649341	-2.48143610917439	1.00133253901109	-2.47813389907918	0.0132071570978211	0.0359010998251344	depleted in absence of Pc and vg
CG45116	3.71827509142607	-6.00749740021247	1.61620268758134	-3.71704455534766	0.000201566906576258	0.000992817574874724	depleted in absence of Pc and vg
CG11370	1887.81963115745	-2.92335980332774	0.835319305232804	-3.49969141741912	0.000465797038372655	0.0020686156358277	depleted in absence of Pc and vg
CR43426	41.7373206451521	1.21256924817968	0.283782557067348	4.27288153546346	1.92962986495452e-05	0.000122821770258165	enriched in absence of Pc and vg
CG13239	10.7472810179839	-2.92720759618599	0.832219932374243	-3.51734857856018	0.00043588096271461	0.00194904048004346	depleted in absence of Pc and vg
CG40470	34.5156402235851	-2.61581842358259	0.842265987433542	-3.10569162546053	0.00189834574718616	0.00695183851434116	depleted in absence of Pc and vg
nvd	417.366394223724	-3.75110726765444	0.618847725181003	-6.06143824243243	1.34909688828118e-09	1.92354546060835e-08	depleted in absence of Pc and vg
spok	2411.79619310388	-2.85196975919854	0.745416400215462	-3.82600887017535	0.000130237598763759	0.000674696366356843	depleted in absence of Pc and vg
CG42402	78.1132912576431	2.00372763318569	0.349001699882455	5.74131195882584	9.39458403643621e-09	1.1658731272927e-07	enriched in absence of Pc and vg
Gel	1417.15923691926	-1.05670651900706	0.344911570860828	-3.06370272348283	0.00218616029841174	0.00784038825781698	depleted in absence of Pc and vg
CG34305	34.137648074121	-2.07832048560517	0.421008764667894	-4.93652545985503	7.95266597585843e-07	6.89003595895941e-06	depleted in absence of Pc and vg
TwdlV	14.3218589653512	1.64702815787995	0.599234595129443	2.74855318979734	0.00598589219517514	0.0184804414265225	enriched in absence of Pc and vg
CR44922	36.9308590270651	7.05660434646677	1.21956683293953	5.7861563268806	7.20151995395208e-09	9.12055668512494e-08	enriched in absence of Pc and vg
rpk	124.233884146044	-1.91972921980508	0.260168807329893	-7.37878318122459	1.5974272490383e-13	4.21440010809225e-12	depleted in absence of Pc and vg
CR44923	6.04683849937559	-1.96447834009059	0.801440732613098	-2.45118355001175	0.0142387324942294	0.0382373311927964	depleted in absence of Pc and vg
CG44098	24.0742621191139	-3.18578589818882	1.19540313664665	-2.66503056627875	0.00769813253804126	0.0227826160671528	depleted in absence of Pc and vg
CG14655	9.62005391443092	-2.66408270113117	0.817787653621309	-3.25767048369358	0.00112330761079788	0.00441606599037189	depleted in absence of Pc and vg
CG14661	13.1842012904222	-3.59404752785649	1.35973479691542	-2.64319743527168	0.00821271303236253	0.0240301906349975	depleted in absence of Pc and vg
CG1124	61.4524081646626	-1.13562846072785	0.348599375192592	-3.25768931771734	0.00112323306678205	0.00441606599037189	depleted in absence of Pc and vg
CG14662	4.63181095916586	-6.14520916189723	1.40545989280316	-4.37238315612176	1.2289759382644e-05	8.19189557877364e-05	depleted in absence of Pc and vg
CG43131	8.83695837164517	-2.25208783960963	0.723315918954714	-3.11356045206939	0.00184844638615285	0.00679831162093696	depleted in absence of Pc and vg
CG14664	3.58956261769908	-5.72419414775961	1.46402706755394	-3.90989639100284	9.23357176095542e-05	0.000496645431229695	depleted in absence of Pc and vg
