geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG43204	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8785	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10799	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG18278	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG30484	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6553	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18568	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8093	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG30088	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8299	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33459	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15615	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6967	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17290	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6484	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10931	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10911	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG14500	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18609	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18607	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9975	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10051	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18367	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15127	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15126	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8654	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13423	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG30148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43308	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG17999	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9993	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG9394	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG30263	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18735	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG13492	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13488	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG30401	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG3292	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG3264	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3927	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG30265	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG12490	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9825	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13577	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13587	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
