geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG14566	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG2016	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10029	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG16736	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8358	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12256	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10041	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11656	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31157	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14850	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10264	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG44158	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43446	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31343	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31233	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG13833	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13606	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG5715	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13622	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14257	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13978	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43319	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33346	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11841	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15506	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG34296	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31019	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13361	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18031	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG17717	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG32719	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10970	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17440	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3106	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG2898	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG9411	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG42300	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12698	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8568	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6696	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG17167	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44897	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44772	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44825	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44996	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44582	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44972	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44605	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45721	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44269	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44101	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44447	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45137	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45147	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43812	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45152	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44811	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45396	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43889	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43628	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR42651	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44932	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43252	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44933	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44333	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45551	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45550	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44137	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45638	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43643	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45566	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44517	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44266	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44754	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44124	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR40976	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi28S-2949	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Me28S-A982a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:U29:54Ed	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
snoRNA:Me28S-G3277a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:185	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi18S-841a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:684	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
snoRNA:Psi28S-3327b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi18S-301	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi28S-3405b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi28S-3405c	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Me28S-G980	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
snoRNA:Psi28S-1135d	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
