geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG14508	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7567	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11470	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15530	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31021	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3706	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14797	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4325	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG17777	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG5966	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4766	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3823	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12721	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12715	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG15756	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG12481	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9411	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13010	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG42854	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44222	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45348	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44897	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR45463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44407	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44493	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44587	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44695	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44489	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45700	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44910	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44269	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44917	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44918	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45132	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45135	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45141	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45147	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR42736	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45152	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44067	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45252	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45378	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45687	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45424	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43481	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45169	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
