geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
74	CG30114	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
75	CR45147	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
76	CG33136	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
77	CG43069	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
78	CG18605	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
79	snoRNA:185	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
80	CR43812	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
81	CG43308	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
82	snoRNA:Psi18S-841a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
83	CG30263	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
84	CG3292	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
85	CG3264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
86	CR45152	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
87	CG42867	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
88	CG30409	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
89	bw	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
90	slbo	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
91	CR44811	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
92	Mmp1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
93	CG9380	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
94	CG43150	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
95	CG32845	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
96	Ppm1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
97	CG14949	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
98	Cpr64Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
99	Cpr64Ac	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
100	CG1273	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
101	CG7509	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
102	Blimp-1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
103	snoRNA:684	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
104	Jon65Ai	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
105	CG8541	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
106	CG32365	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
107	CG13675	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
108	CG32364	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
109	CG34456	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
110	CG6216	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
111	CG6168	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
112	CG5964	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
113	caup	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
114	Zmynd10	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
115	snoRNA:Psi28S-3327b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
116	CG10089	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
117	CR45396	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
118	CG43295	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
119	CG13054	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
120	CG34248	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
121	PGRP-SB2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
122	CG42816	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
123	CG14082	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
124	tey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
125	mir-33	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
126	CR43889	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
127	CG14183	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
128	CG7365	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
129	obst-J	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
130	CG7017	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
131	CG5078	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
132	CR45734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
133	CG43218	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
134	CG12974	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
135	Neu2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
136	CG7173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
137	Sfp78E	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
138	CG14566	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
139	TwdlG	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
140	CG2016	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
141	CR43628	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
142	Osi14	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
143	CR42651	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
144	CR44932	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
145	Antp	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
146	CR43252	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
147	CR44933	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
148	CR44333	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
149	RacGAP84C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
150	CG10029	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
151	grn	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
152	CR45551	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
153	CR45550	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
154	CG16736	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
155	CG8358	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
156	Whamy	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
157	mthl11	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
158	Ugt86Di	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
159	CR44137	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
