geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
321	CG9459	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
322	CG9458	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
323	Npc2d	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
324	CG31391	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
325	Ugt86Dc	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
326	CR31144	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
327	CR44137	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
328	CG14718	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
329	Hsp70Ab	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
330	CG10014	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
331	CG17207	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
332	CG5538	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
333	Hsp70Ba	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
334	Hsp70Bbb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
335	Hsp70Bb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
336	CG14395	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
337	CG5999	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
338	snk	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
339	CG31157	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
340	CG8773	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
341	CG8774	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
342	Ir87a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
343	CG14369	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
344	CG9269	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
345	Rbp4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
346	CR43641	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
347	CG14357	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
348	CG14857	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
349	CR45600	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
350	CG3987	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
351	CG43318	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
352	CR45643	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
353	CG17930	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
354	CG17562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
355	CG17560	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
356	CG14893	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
357	Ubx	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
358	Abd-B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
359	CG31269	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
360	CG31265	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
361	CG17475	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
362	CG4053	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
363	CG31266	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
364	CG31267	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
365	CR43196	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
366	CG14324	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
367	CG14326	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
368	AttD	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
369	CG14292	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
370	CG3734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
371	CG18493	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
372	CG6255	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
373	CG11453	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
374	CR45048	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
375	CG4465	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
376	CG4836	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
377	CG10887	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
378	CG4367	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
379	CG4362	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
380	MtnC	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
381	MtnB	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
382	MtnD	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
383	CG15696	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
384	CG10827	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
385	HHEX	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
386	CG5892	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
387	CG31343	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
388	CG31233	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
389	CG31198	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
390	CG42335	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
391	P5CDh2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
392	CG5379	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
393	CG13857	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
394	CG7045	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
395	CG6660	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
396	CG10182	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
397	CG31148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
398	tbrd-1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
399	CG6432	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
400	AstA	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
401	sosie	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
402	CG10513	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
403	CG31087	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
404	MCO3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
405	CR45037	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
406	CR43643	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
407	E(spl)m6-BFM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
408	CR44321	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
409	ppk15	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
410	TwdlM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
411	TwdlP	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
412	TwdlB	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
413	TwdlL	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
414	TwdlO	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
415	TwdlK	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
416	TwdlN	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
417	CG14245	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
418	CG18472	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
419	CG6296	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
420	CG5984	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
421	RpS10a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
422	mil	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
423	Dhc98D	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
424	snoRNA:Psi28S-3305a	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
425	snoRNA:Psi28S-3305c	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
426	CG10000	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
427	snoRNA:291	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
428	CG31041	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
429	Jon99Ciii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
430	Jon99Cii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
431	Jon99Ci	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
432	CG7912	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
433	CG31029	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
434	CecA2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
435	CG15533	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
436	CG15534	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
437	Jon99Fii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
438	Jon99Fi	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
439	CG9702	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
440	CG11318	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
441	mesh	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
442	CG15564	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
443	CG11340	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
444	mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
445	pncr017:3R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
446	pcl	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
447	Cyp4g1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
448	vnd	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
449	CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
450	CG11384	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
451	Tsp2A	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
452	CG14054	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
453	CG18031	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
454	CG16781	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
455	CG2901	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
456	CG2930	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
457	Bteb2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
458	CR45517	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
459	CG34434	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
460	mir-3645	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
461	CG42264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
462	CG6048	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
463	CG32750	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
464	vanin-like	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
465	CG14443	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
466	CG4095	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
467	Inx7	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
468	Ir7b	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
469	hdm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
470	CG2120	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
471	CG12057	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
472	Erk7	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
473	snoRNA:U3:9B	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
474	CG42249	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
475	CG9360	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
476	Cyp318a1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
477	Muc11A	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
478	CR45623	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
479	CG32650	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
480	CG44437	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
481	CG15742	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
482	CG32633	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
483	CG11162	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
484	CR43833	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
485	CG11068	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
486	CG43088	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
487	Ag5r2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
488	CG9512	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
489	CG12398	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
490	CR44998	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
491	mir-283	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
492	CG9981	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
493	Traf-like	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
494	spheroide	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
495	CG9673	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
496	CG4653	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
497	TwdlX	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
498	CR44754	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
499	CG12998	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
500	f	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
501	CG43133	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
502	CG34330	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
503	CG7992	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
504	CR44340	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
505	CR44885	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
506	skpC	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
507	RunxA	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
508	CG15450	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
509	Npc1b	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
510	Ser6	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
511	CG1304	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
512	CG1722	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
513	snoRNA:MeU6-A47	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
514	Cyp6t1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
515	CG17599	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
516	FucTC	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
